"Model","MAE","MSE","RMSE","R2"
"Random Forest Regressor",13.0532766994535,285.622674202357,16.9003749722412,0.424843319814208
"Linear Regression",12.8051104226064,266.612120032362,16.3282613903735,0.463124759673424
