"Estimate","Std_Error","t_value","p_value","Variable","Significant"
180.670191748983,0.38328099915034,471.377898068242,0,"(Intercept)","Yes"
12.8472672989936,0.475379897891366,27.0252641223999,5.5587480009604e-134,"incidencerate","Yes"
74.7935729482199,3.23799790094208,23.0987095224673,8.20616821182578e-103,"avgdeathsperyear","Yes"
-85.0948130471807,3.99179293549126,-21.3174416665248,1.71709609516691e-89,"avganncount","Yes"
-7.34471651350443,1.20535340092004,-6.09341335735914,1.36610921223816e-09,"income_category","Yes"
9.41048293979647,1.72090860970623,5.4683223075994,5.22308616247874e-08,"popest2015","Yes"
5.69922338506465,1.22846105155261,4.63931955991736,3.76487938354122e-06,"medincome","Yes"
-3.58548850801038,0.877766649983549,-4.08478552708466,4.61830551552638e-05,"pctemployed16_over","Yes"
2.79932059876593,0.698209724813396,4.0092833131393,6.35565573152188e-05,"pcths25_over","Yes"
-1.89617539734595,0.473929470732491,-4.00096536392912,6.58109595844313e-05,"pctotherrace","Yes"
-5.8561178940095,1.61019393935287,-3.63690220841537,0.000284218383564782,"pctprivatecoverage","Yes"
2.91316421618828,1.06718672958679,2.72976053339443,0.00640383800366536,"pctempprivcoverage","Yes"
-2.88241251223998,1.06852987646139,-2.69754976041059,0.00705467293665545,"pctwhite","Yes"
1.06764854049103,0.479902631535472,2.22471907910785,0.0262317916394498,"pcths18_24","Yes"
-1.63748584237847,0.872525981254783,-1.87671871962322,0.0607289354505313,"pctbachdeg25_over","No"
-1.45732679038858,0.917584513044485,-1.58822077930813,0.112423589957204,"pctblack","No"
1.8736984203359,1.41901547824861,1.3204214112227,0.186873256302946,"percentmarried","No"
-0.541599349557936,0.42323000811394,-1.27968088078511,0.200833140639769,"birthrate","No"
-1.04305979538895,0.859272859149557,-1.21388658361826,0.224960745471897,"avghouseholdsize","No"
-1.9108591253692,1.90929894372772,-1.00081714895753,0.31705857568123,"pctpubliccoverage","No"
0.772546937582955,0.862176902751483,0.896042256661608,0.370357881066248,"pctprivatecoveragealone","No"
0.571564357256163,0.644605055246274,0.886689225603101,0.375372473605332,"pctunemployed16_over","No"
-1.03373721144076,1.22152731331029,-0.846266145813285,0.3975241691578,"povertypercent","No"
1.50179279702593,1.82342781909914,0.823609676947829,0.410277653432911,"pctpubliccoveragealone","No"
-0.879458825866657,1.22490967603135,-0.717978511457318,0.472869831703075,"medianagemale","No"
-0.887924954492798,1.40146563209136,-0.633568839763681,0.526448024334412,"pctmarriedhouseholds","No"
-0.83160217531361,1.36053230789835,-0.611232949402142,0.54112762512943,"medianagefemale","No"
0.221187559044318,0.394092668901676,0.561257735803006,0.574696304358548,"studypercap","No"
-0.230852367074014,0.500988792833552,-0.460793475575236,0.645006107392339,"pctnohs18_24","No"
-0.126675123799187,0.390943053258868,-0.324024490890001,0.74595961194713,"medianage","No"
-0.0818032234168248,0.487339634390522,-0.167856701249283,0.866716109924253,"pctasian","No"
0.0452896734404893,0.506382245982138,0.0894377198249695,0.928744651297118,"pctbachdeg18_24","No"
